Material,SAP Description,Product Family,Family,Finance Category,FinCatDes,Product Category,Division,Lifecycle,Alias,Launch,EOL,SW,Metric1,Metric Comment
17450,LIFESTYLE 25 WHITE 120 VOLT,HED00185,LS25,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1996,5/1/1999,,ComplianceDate,
17451,LIFESTYLE 25 BLACK 120 VOLT,HED00185,LS25,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1996,5/1/1999,,ComplianceDate,
18370,131 ENVIRONMENTAL WHITE,HED00034,131,STEREOMRN,Marine Speakers,Speakers,CED,End of Sales,SCARAB,1/1/1997,4/1/2017,N/A,Profit%,
18683,301 IV BLACK LEFT,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,STERLING,1/1/1996,1/1/2002,N/A,ComplianceDate,
18684,301 IV BLACK RIGHT,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,STERLING,1/1/1996,1/1/2002,N/A,ComplianceDate,
18685,301 IV ROSEWOOD LEFT,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,STERLING,1/1/1996,1/1/2002,N/A,ComplianceDate,
18686,301 IV ROSEWOOD RIGHT,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,STERLING,1/1/1996,1/1/2002,N/A,ComplianceDate,
18687,201 IV BLACK LEFT,HED00026,201,STEREOFLR,Floorstanding Speakers,Speakers,CED,Unknown,,1/1/1996,,,PartsNoLongerAvailDate,
18777,301 IV ROSEWOOD SECONDS,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,STERLING,1/1/1996,1/1/2002,N/A,ComplianceDate,
18780,201 IV BLACK SECONDS,HED00026,201,STEREOFLR,Floorstanding Speakers,Speakers,CED,Unknown,,1/1/2002,,,PartsNoLongerAvailDate,
18815,BOSE WAVE RADIO III WHT 120VOLT,HED00237,AWR1,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,4/30/2012,9/1/2015,,Profit%,
18816,BOSE WAVE RADIO III WHITE 220V,HED00237,AWR1,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,4/30/2012,9/1/2015,,Profit%,
18817,BOSE WAVE RADIO III 100V,HED00237,AWR1,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,4/30/2012,9/1/2015,,Profit%,
18819,BOSE WAVE RADIO III 110V SECOND,HED00237,AWR1,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,4/30/2012,9/1/2015,,Profit%,
18821,BOSE WAVE RADIO III GRAY 120V,HED00237,AWR1,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,4/30/2012,9/1/2015,,Profit%,
18822,BOSE WAVE RADIO III GRAY 220V,HED00237,AWR1,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,4/30/2012,9/1/2015,,Profit%,
18825,BOSE WAVE RADIO III GRAY 110 SCD,HED00237,AWR1,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,4/30/2012,9/1/2015,,Profit%,
18850,LIFESTYLE 20 BLACK 120V FRNWD,HED00184,LS20,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1996,1/1/2003,,ComplianceDate,
18938,LIFESTYLE 20 BLACK DUAL SECOND,HED00184,LS20,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1996,1/1/2003,,ComplianceDate,
19156,ACOUSTIMASS 6 BLACK,HED00014,AM6,AM,Acoustimass,Premium Home Theater,CED,End of Service Life,,8/1/1996,1/1/2000,,ComplianceDate,
19562,LIFESTYLE 8 HT SYS BLACK 120V,HED00176,LS08,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1998,1/1/2000,,ComplianceDate,
19563,LIFESTYLE 8 HT SYSTEM WHITE 120V,HED00176,LS08,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1998,1/1/2000,,ComplianceDate,
19765,ACOUSTIMASS 3 PWRD II BK 115 SCD,HED00010,AM3,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,,1/1/1991,1/1/1994,,ComplianceDate,
20453,LIFESTYLE 30 SYSTEM BLACK 120V,HED00187,LS30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1996,5/1/1999,,ComplianceDate,
20454,LIFESTYLE 30 SYSTEM WHITE 120V,HED00187,LS30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1996,5/1/1999,,ComplianceDate,
20964,LIFESTYLE 30 SYS BLACK 120V FRNWD,HED00187,LS30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1996,5/1/1999,,ComplianceDate,
21143,131 ENVIRONMENTAL WHITE SECOND,HED00034,131,STEREOMRN,Marine Speakers,Speakers,CED,End of Sales,SCARAB,1/1/1997,4/1/2017,N/A,Profit%,
21263,ACOUSTIMASS 10 II BLACK,HED00008,AM10,AM,Acoustimass,Premium Home Theater,CED,End of Service Life,VIPER,8/1/1996,1/1/1998,N/A,ComplianceDate,
21264,ACOUSTIMASS 10 II WHITE,HED00008,AM10,AM,Acoustimass,Premium Home Theater,CED,End of Service Life,VIPER,8/1/1998,1/1/2002,N/A,ComplianceDate,
21363,ACOUSTIMASS 15 POWERED WHITE 120,HED00005,AM15,AM,Acoustimass,Premium Home Theater,CED,End of Service Life,,8/1/1998,1/1/2006,,ComplianceDate,
21364,ACOUSTIMASS 15 POWERED BLACK 120,HED00005,AM15,AM,Acoustimass,Premium Home Theater,CED,End of Service Life,,8/1/1998,1/1/2006,,ComplianceDate,
21725,ACOUSTIMASS 5 III BLACK,HED00012,AM5,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Sales,,1/1/1998,1/1/2015,,Profit%,
21726,ACOUSTIMASS 5 III WHITE,HED00012,AM5,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Sales,,1/1/1998,1/1/2015,,Profit%,
22135,301 III BLACK - S,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,SNICKERS,1/1/1991,1/1/1996,N/A,ComplianceDate,
22141,ACOUSTIC WAVE III GRAPHITE 120V,HED00234,AWMS,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,,,,Profit%,
22191,WAVE RADIO/CD IMPERIAL WHITE 120,HED00238,AWRC,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Service Life,,11/1/1998,8/1/2004,,ComplianceDate,
22373,WAVE RADIO/CD 120 GRAPHITE,HED00238,AWRC,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Service Life,,11/1/1998,8/1/2004,,ComplianceDate,
22375,WAVE RADIO/CD GRAY 220,HED00238,AWRC,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Service Life,,11/1/1998,8/1/2004,,ComplianceDate,
22377,WAVE RADIO/CD GRAY 240,HED00238,AWRC,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Service Life,,11/1/1998,8/1/2004,,ComplianceDate,
22534,LIFESTYLE 12 II BLACK 120 VOLT,HED00182,LS12,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,5/1/1999,1/1/2003,,ComplianceDate,
22535,LIFESTYLE 12 II WHITE 120 VOLT,HED00182,LS12,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,5/1/1999,1/1/2003,,ComplianceDate,
22540,LIFESTYLE 12 II BLACK 230UK VOLT,HED00182,LS12,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,5/1/1999,1/1/2003,,ComplianceDate,
22544,LIFESTYLE 12 II BLACK DUAL,HED00182,LS12,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,5/1/1999,1/1/2003,,ComplianceDate,
22545,LIFESTYLE 12 II WHITE DUAL,HED00182,LS12,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,5/1/1999,1/1/2003,,ComplianceDate,
22546,LIFESTYLE 25 II BLACK 120 VOLT,HED00185,LS25,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,5/1/1999,1/1/2003,,ComplianceDate,
22547,LIFESTYLE 25 II WHITE 120 VOLT,HED00185,LS25,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,5/1/1999,1/1/2003,,ComplianceDate,
22549,LIFESTYLE 25 II WHITE 230 VOLT,HED00185,LS25,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,5/1/1999,1/1/2003,,ComplianceDate,
22558,LIFESTYLE 30 II BLACK 120 VOLT,HED00187,LS30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,5/1/1999,1/1/2002,,ComplianceDate,
22559,LIFESTYLE 30 II WHITE 120 VOLT,HED00187,LS30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,5/1/1999,1/1/2002,,ComplianceDate,
22568,LIFESTYLE 30 II BLACK DUAL,HED00187,LS30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,5/1/1999,1/1/2002,,ComplianceDate,
22724,WRCD SPARE REMOTE GRAPHITE GRAY,HED00064,AWAC,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,11/1/1998,8/1/2004,,Profit%,
22727,LIFESTYLE 40 SYSTEM BLACK 230V,HED00190,LS40,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/1/2007,1/1/2009,,ComplianceDate,
22737,LIFESTYLE 50 SYSTEM BLACK 120V,HED00192,LS50,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,COUCHBOY,1/1/1999,1/1/2003,N/A,ComplianceDate,
22738,LIFESTYLE 50 SYSTEM WHITE 120V,HED00192,LS50,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,COUCHBOY,1/1/1999,1/1/2003,N/A,ComplianceDate,
22855,ACOUSTIMASS 5 III BLK F/RENEWED,HED00012,AM5,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Sales,,1/1/1998,1/1/2015,,Profit%,
22856,ACOUSTIMASS 5 III WHT F/RENEWED,HED00012,AM5,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Sales,,1/1/1998,1/1/2015,,Profit%,
22857,ACOUSTIMASS 15P BK 120 F/RENEWED,HED00005,AM15,AM,Acoustimass,Premium Home Theater,CED,End of Service Life,,8/1/1998,1/1/2006,,ComplianceDate,
23075,WAVE RADIO/CD PLATINUM WHITE 120V,HED00238,AWRC,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Service Life,,11/1/1998,8/1/2004,,ComplianceDate,
23076,WAVE RADIO/CD PLATINUM WHITE 220,HED00238,AWRC,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Service Life,,11/1/1998,8/1/2004,,ComplianceDate,
23077,WAVE RADIO/CD PLATINUM WHT 230UK,HED00238,AWRC,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Service Life,,11/1/1998,8/1/2004,,ComplianceDate,
23197,WRCD SPARE REMOTE PLATINUM WHITE,HED00064,AWAC,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,11/1/1998,8/1/2004,,Profit%,
23435,ACOUSTIC WAVE III GRPH 120 FRNWD,HED00234,AWMS,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,,,,Profit%,
